SteamId,ProfileURL,ReviewText,Review,ReviewLength(Chars),PlayHours,DatePosted
7.65612E+16,https://steamcommunity.com/profiles/76561198345034040/,"i will never get a run as good as my run on June 6th, 2024 at 5:00pm-5:35pm",Recommended,59,180.8 hrs on record,"Posted: 6 June, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561198814974000/,I will eat one kid for every like this review gets,Recommended,40,8.5 hrs on record,"Posted: 7 July, 2024"
Radderss,https://steamcommunity.com/id/Radderss/,"this game saved my life. No joke. I have no Dead God, just 850 hours of being too ill to function. Isaac, somehow, saved my sanity during the worst times of my chronic illness. Thanks for being such a messed up dopamine game",Recommended,182,874.5 hrs on record,Posted: 17 February
7.65612E+16,https://steamcommunity.com/profiles/76561199128573515/,"-121 win streak
Love this game",Recommended,26,456.0 hrs on record,"Posted: 22 July, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561198059804297/,"One of the greatest indies on Steam. Limitless roguelike enjoyment. You will be turn around 1000 hours later, and still enjoy every run. Buy the game.",Recommended,125,"1,585.4 hrs on record","Posted: 5 October, 2024"
qpzbsdjklr,https://steamcommunity.com/id/qpzbsdjklr/,isac,Recommended,4,"3,536.6 hrs on record","Posted: 3 June, 2024"
xSinek,https://steamcommunity.com/id/xSinek/,"The Binding of Isaac – a game that answers the question: 'What if Zelda had a baby with a B-horror movie, and their grandparent was RNG?
You cry, throw poop, die a thousand times... and come back for more. Every run is like a Kinder Surprise: you either get something awesome or end up in hell with your build.
10/10 – best tear therapy ever.",Recommended,280,215.6 hrs on record,"Posted: 29 November, 2024"
purplealligator,https://steamcommunity.com/id/purplealligator/,"Our son was only 14 when he was diagnosed with Lukemia. The journey was long, filled with treatments, surgeries, and countless nights where we watched him battle not just the disease, but the overwhelming fear and loneliness that came with it.

But there was one thing that brought him back to life in those dark moments: The Binding of Isaac.

He found it during one of his hospital stays, and at first, it was just something to pass the time. But soon, it became more. As he played, he would tell us about his runs—how his items worked together, how he fought back against impossible odds. We saw him light up with excitement, a spark of joy we hadn’t seen in a long time. The game gave him a sense of purpose, a chance to be a hero, even when he couldn’t be one in his own life. For hours, he’d immerse himself in that world, and for a while, the pain seemed to fade.

Sadly, he lost his battle. But those moments, those hours spent with Isaac, were some of the happiest of his final months. We know that, for him, it wasn’t just a game. It was a source of strength. A way to feel like he was in control when so much of his life had been taken from him.

To the creators of The Binding of Isaac: Thank you. You gave our son a little piece of light when everything else felt so heavy. You gave him a way to feel like he could fight back, and for that, we are forever grateful.",Recommended,1116,756.8 hrs on record,"Posted: 10 December, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561199016674273/,"Peak roguelike dungeon crawler here, but it's a total slop without essential mods. If you're new to Isaac, do yourself a favor and get the External Item Descriptions mod (seriously, it's a lifesaver), maybe the Enhanced Boss Bars (i recommend it), and definitely the Time Machine mod for a smoother experience without wasting 10 minutes on every interactable . Trust, these mods don't take away from the game at all. What they do is save you from is endless confusion and constant alt+tabbing to check the wiki for every little thing. You're not missing out on anything by using them, except maybe hours upon hours of needless frustration.",Recommended,532,360.3 hrs on record,"Posted: 27 June, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561198063755527/,"This is a great game. Each run is randomly generated and it only takes about 30 minutes to an hour to play through the game, win or lose. Then you start at the beginning. However, there are so many different items so it never feels like you played the same run twice. There are lots of different paths to take as well. So many unlockable items and endings... It's just an endlessly replayable game. 10/10",Recommended,330,"3,483.6 hrs on record","Posted: 5 November, 2024"
Warblingpants67,https://steamcommunity.com/id/Warblingpants67/,edmund mcmillen im not gay but if you wanna give me a little smooch id let you,Recommended,62,346.8 hrs on record,"Posted: July 15, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561198434892700/,good game isaac is good game its a good game binding of isaac good it game binding of isaac game,Recommended,77,"2,220.5 hrs on record","Posted: September 7, 2024"
jankat7,https://steamcommunity.com/id/jankat7/,Best roguelike and it's not even close,Recommended,32,474.3 hrs on record,"Posted: May 10, 2024"
Dolteriska,https://steamcommunity.com/id/Dolteriska/,"> Start an Eden streak
> get to streak 3 the things are looking good
> start next run with metronome and ♥♥♥♥ stats
> use metronome to get some help with clearing rooms
> gets damocles
> dies
10 Edmund McMillens out of 10",Recommended,183,328.0 hrs on record,"Posted: October 29, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561199542426333/,"---{ Graphics }---
☐ You forget what reality is
☐ Beautiful
☑ Good
☐ Decent
☐ Bad
☐ Don‘t look too long at it
☐ MS-DOS

---{ Gameplay }---
☑ Very good
☐ Good
☐ It's just gameplay
☐ Mehh
☐ Watch paint dry instead
☐ Just don't

---{ Audio }---
☑ Eargasm
☐ Very good
☐ Good
☐ Not too bad
☐ Bad
☐ I'm now deaf

---{ Audience }---
☐ Kids
☐ Teens
☐ Adults
☑ Grandma

---{ PC Requirements }---
☑ Check if you can run paint
☐ Potato
☐ Decent
☐ Fast
☐ Rich boi
☐ Ask NASA if they have a spare computer

---{ Game Size }---
☑ Floppy Disk
☐ Old Fashioned
☐ Workable
☐ Big
☐ Will eat 10% of your 1TB hard drive
☐ You will want an entire hard drive to hold it
☐ You will need to invest in a black hole to hold all the data

---{ Difficulty }---
☐ Just press 'W'
☐ Easy
☐ Easy to learn / Hard to master
☐ Significant brain usage
☑ Difficult
☐ Dark Souls

---{ Grind }---
☐ Nothing to grind
☐ Only if u care about leaderboards/ranks
☐ Isn't necessary to progress
☑ Average grind level
☐ Too much grind
☐ You'll need a second life for grinding

---{ Story }---
☐ No Story
☑ Some lore
☐ Average
☐ Good
☐ Lovely
☐ It'll replace your life

---{ Game Time }---
☐ Long enough for a cup of coffee
☐ Short
☐ Average
☐ Long
☑ To infinity and beyond

---{ Price }---
☐ It's free!
☑ Worth the price
☐ If it's on sale
☐ If u have some spare money left
☐ Not recommended
☐ You could also just burn your money

---{ Bugs }---
☑ Never heard of
☐ Minor bugs
☐ Can get annoying
☐ ARK: Survival Evolved
☐ The game itself is a big terrarium for bugs

---{ ? / 10 }---
☐ 1
☐ 2
☐ 3
☐ 4
☐ 5
☐ 6
☐ 7
☐ 8
☐ 9
☑ 10",Recommended,1319,21.8 hrs on record,Posted: January 7
wilsoniscool1o,https://steamcommunity.com/id/wilsoniscool1o/,"To say The Binding of Isaac hasn't been a big part of my life would be an enormous understatement.
At the time of writing this I have achieved Dead God with 970 hours on steam and I promised myself that I would write a review of how impactful it was to me. No matter how unorganized it may be. I found out about Isaac from two Youtubers. Northenlion and Bisnap. I watched Northenlion for Super Meat Boy and Bisnap for Spelunkey. None of their playlist compared to the number of episodes they made for the Original Binding of Isaac. I was HOOKED. The game's art style was infections that a young me would draw the characters on sticky notes to make them stand up, I didn't stop there In 6-8th grade I'd draw them next to the notes I'd write for Social Studies, Science, and Language Arts. I bought Rebirth according to steam on:Jan 31, 2015 and also bought Isaac on the PS-Vita, My Phone,and Nintendo Switch. I played the HECK outta rebirth it is a major upgrade from flash. I'd download mods so I could reskin them beacuse I had no idea how to extract the sprites from the game nor did I know that was even a thing at the time. I only had ms paint so when I did reskin them they would always have a white background which lead me down to finding paint-dot-net a program that I still use to this very day! Anyway I think that's all I wanted to say about Isaac that I can think about on the top of my head. Lastly I'd like to thank Edmund and his team over at Nicalis! Thanks for reading my messy """"review"""" of The Binding of Isaac.",Recommended,1239,988.9 hrs on record,Posted: March 25
Wolfguarde,https://steamcommunity.com/id/Wolfguarde/,"This is a forever game. By which I mean - you're going to play it heaps when you first get it, but you're going to keep coming back to it afterwards. It's a great time waster, gap filler between game releases, and generally fun arcade-style roguelike package. Playthroughs are short, but diverse in terms of build potential and consequent play experience. Bad runs can be flipped on their head depending on a single room/item, and the game has plenty of secrets to rat out for those who don't like using guides.

Overall, TBoI is one of the best-put-together games I've ever seen in terms of scope, gameplay, and overall experience. It does exactly what it was made to do, does it well, and does it in a way that doesn't get stale.",Recommended,601,486.9 hrs on record,"Posted: September 5, 2024"
