SteamId,ProfileURL,ReviewText,Review,ReviewLength(Chars),PlayHours,DatePosted
7.65612E+16,https://steamcommunity.com/profiles/76561199331666861/,you cannot enslave your babys,Not Recommended,25,70.4 hrs on record,"Posted: 10 May, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561198833481835/,emily's smile is haunting me in nightmares,Not Recommended,36,223.9 hrs on record,"Posted: 12 May, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561199040950352/,"i'm sure this game is great when you really get into it; unfortunately, i just can't. time-based mechanics are very stressfull for me, and my impression is that stardew valley has a LOT of those. how could i possibly feel relaxed when i have to remember to water the crops, talk to everyone in town, figure out what gifts they like, and check out whatever seasonal thing is going on at the moment, every single day, and find whatever i need for the community center?! if i want a game to relax to, i boot up celeste, because a having a simple, predictable wall to repeatedly mash your face against is relaxing to me. evidently though, a lot of people aren't like me. but if you are, stay clear of this game",Not Recommended,575,2.3 hrs on record,"Posted: 17 December, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561199161118894/,cant give kitty a fish,Not Recommended,18,353.2 hrs on record,Posted: 3 March
7.65612E+16,https://steamcommunity.com/profiles/76561199089709850/,"game wouldn't let me get with Pierres wife, and i'd say that's unfair game design.",Not Recommended,68,48.8 hrs on record,Posted: 21 February
7.65612E+16,https://steamcommunity.com/profiles/76561198851420589/,Hailey ignores me 😐,Not Recommended,16,102.5 hrs on record,"Posted: 3 July, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561198347378347/,can't date robin,Not Recommended,14,25.5 hrs on record,"Posted: 12 August, 2024"
dolphyan,https://steamcommunity.com/id/dolphyan/,"U need to double confirm to choose joja route, but only one missclick to delete yr 200h farm. Strongly recommended!!!!",Not Recommended,99,650.2 hrs on record,Posted: 11 March
7.65612E+16,https://steamcommunity.com/profiles/76561198009624279/,Too buggy on steamdeck. Incubator bug is still not patched.,Not Recommended,50,205.4 hrs on record,Posted: 27 February
EatingTurtles,https://steamcommunity.com/id/EatingTurtles/,wizard wont marry me after 1000 hours of rizz. dont bother.,Not Recommended,49,"1,091.0 hrs on record","Posted: 28 October, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561199336244479/,cant marry willy,Not Recommended,14,190.0 hrs on record,Posted: February 5
7.65612E+16,https://steamcommunity.com/profiles/76561198994644539/,i actually love this game but i intentionally misclicked for some reason. you should def buy it and support the creator tho,Not Recommended,102,24.1 hrs on record,"Posted: October 16, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561199142772006/,will ruin ur life stop b4 its too late i am addicted,Not Recommended,41,65.9 hrs on record,"Posted: May 9, 2024"
SillyWilly917,https://steamcommunity.com/id/SillyWilly917/,still waiting for Evelyn to be dateable,Not Recommended,33,14.9 hrs on record,"Posted: December 10, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561199116134467/,Can't marry the moms.,Not Recommended,18,89.4 hrs on record,"Posted: December 12, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561199580551545/,"this game will ruin your life, thanks to my addiction to this game, my GF left me, I lost my job, and I now live in an old van, selling plasma and delivering pizzas.",Not Recommended,132,"3,160.2 hrs on record",Posted: March 29
BLACKTHUGBALLS,https://steamcommunity.com/id/BLACKTHUGBALLS/,"Product received for free

Cant marry robin",Not Recommended,38,14.4 hrs on record,"Posted: November 25, 2024"
