SteamId,ProfileURL,ReviewText,Review,ReviewLength(Chars),PlayHours,DatePosted
officialra,https://steamcommunity.com/id/officialra/,You'll find less cheaters on Tinder,Not Recommended,30,254.2 hrs on record,"Posted: 21 May, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561198283377893/,It saddens me how a billion dollar revenue game doesn't have a proper anti-cheat.,Not Recommended,68,"10,244.1 hrs on record","Posted: 30 June, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561198444372929/,"A year has passed. Armory update is a cash grab with no real gameplay value. VAC nowhere to be found, no new maps, the CSGO community has been wiped off the face of the earth. Disgusting company",Not Recommended,158,"2,015.4 hrs on record","Posted: 3 October, 2024"
7.65612E+16,https://steamcommunity.com/profiles/76561198893790695/,"terrible anti cheat people are getting false bans for high sensitivity/amd drivers/console commands while real cheaters are not getting banned
- no new content for months
- no new operation (it's been 3+ years)
- tons of competitive/wingman/hostage maps missing from csgo
- deleted achievements from csgo with 1 pointless one just make new ones
- no danger zone
- no team deatmatch
- sub tick is garbage all we wanted was 128tick servers
- spaghetti net code
- no short mm
- no flying scoutsman
- replays are bugged
- no overwatch
- performance issues
- peekers advantage
- bad ranking system
- no economy changes despite MR12
- movement and shooting is worse compared to csgo

All of this while they make hundreds of millions of dollars from cases/keys and yet are unable to make any fun new content unbelievable, and yet they waste their time with boring hero shooter deadlock that they will abandon within the first few months after the release just like they did to TF2, LFD2, Dota Underlords, CS2 VALVE needs to wake up and start caring for their games",Not Recommended,890,47.7 hrs on record,"Posted: 19 August, 2024"
NivoiSR2nd,https://steamcommunity.com/id/NivoiSR2nd/,"Semi rage cheaters and wallhackers are not detected by Valve secure servers.
The current trust factor system is awful, it matches you up with and against cheaters.
If you have a cheater in your team and you want to kick him at the end of the match you'll get a cooldown.
if you grief the cheater you'll get a cooldown.
if you have cheaters against you and you're afk you're getting banned for 14 days.
if you report a cheater your trust factor decreases
The report button is useless unless it's for griefing reports.
Patch notes and ""major updates"" are awful, it's like valve putting the ""Anti cheat"" at the bottom of their priority.",Not Recommended,527,578.3 hrs on record,Posted: 8 March
7.65612E+16,https://steamcommunity.com/profiles/76561198969190268/,"EDIT: as of today 3.10.24 cs devs decided to release the most shamefull update and instead of operation (that a lot of people have been waiting for) they released a 16$ pass with no coin, no mission, no new maps, no new game modes what a joke, last operation Riptide cost 15$ and you could get 100 stars from it + coin and missions, now they wanna charge 16$ for only 40 stars ridiculous, ubisoft and ea should learn from valve how to rip the of their playerbase. Yet we are somehow STILL IN SEASON 1 OF PREMIER!!! Halooooo it's been a year.

Let’s be real: CS2 is an absolute disaster. If you think otherwise, you need to dive back into legacy CSGO to understand how a real game feels.
The fundamentals of CS2 are laughably worse; CSGO runs smoother, feels better, and offers movement that isn’t a clunky mess. You don’t have to take my word for it - most pro players have openly admitted that CSGO is superior in virtually every aspect except for graphics. The optimization in CSGO is the result of years of meticulous polishing, while CS2 feels like a half-baked joke that can’t afford to take its time. If it doesn’t improve at lightning speed, it’s destined to wither away and die.

People are rapidly losing faith in this entire project. It’s a sinking ship, and Valve seems completely oblivious to the chaos around them. Meanwhile, out-of-touch investors continue to throw money at Valve, clinging to the belief that the company will deliver the ""next big thing"" - whether it’s an operation, a major update, or something else entirely. This speculation might eventually bear fruit, but for now, it’s the only thing driving the recent spike in skin prices - not any real improvements in gameplay or the anti-cheat system. And don’t even get me started on the absurd slogan “what you see is what you get.” It’s a total farce, especially with the whole subtick system mess. The gameplay constantly feels like it’s off by a few milliseconds, making it frustrating and inconsistent. Valve seems more interested in chasing shiny new distractions like Deadlock, which will never match the success of either CSGO or CS2. Player numbers for that game are already dropping, and let’s be honest - the initial surge was just the excitement of a new Valve release. The gameplay is dull, the graphics are mediocre at best, and frankly, it’s just boring.

Valve completely dropped the ball with CS2. They should have delayed this train wreck by a couple of years. Imagine if they had launched this version as a beta today instead of pretending it’s a finished product; it wouldn’t be nearly as disappointing. And for the love of God, the anti-cheat system is an absolute nightmare. It’s so poorly implemented that it raises serious doubts about whether Valve even cares about fairness in the game. If they don’t wake up and address these glaring issues, they risk losing the dedicated player base that has stuck around through thick and thin. It’s infuriating to watch my beloved franchise decay and wither away due to Valve’s incompetence and laziness. They rake in billions upon billions and can’t afford to expand the development team working on CS2?",Not Recommended,2605,142.6 hrs on record,"Posted: 26 September, 2024"
80H8SU,https://steamcommunity.com/id/80H8SU/,"Unfortunately, it is truly a great game ruined by cheaters.

I had a very long break from CS (and gaming in general), so I was pretty excited to get back and enjoy the gameplay. That happened to be impossible as in at least 20% of your games you'll match up against someone cheating.
Back in 2014-2017 you would also occasionally meet someone cheating, but usually on higher ranks such as LE, LEM, SMFC, GE, that's why (I think) they cheated in the first place — to get to higher ranks and stay there.

Downloading CS years later (and having 0 skill left) I was surprised to find out that now you have silvers and novas flooded with cheaters, which makes 0 sense to me — What is those guys' goal? Why are they ranked so low using cheats? So, in 2025 cheating is not something you occasionally find among high-ranks competing between each other, but rather an issue you simply cannot avoid. Among other things, this makes the game very unfriendly for newbies who expect to play against someone in their skill bracket.

Someone might say ""you are just bad and that's why you think others cheat"" and while I get this POV, it is simply not the case. I might not be good anymore but I certainly remember the game's physics and stuff like that. It's quite easy to detect a cheater when you played the game for the first time in 2003. (Also, a 0 level, 1 year old, 50 hours in game Steam account having 80% HS% is simply something very, very suspicious).

Also someone might say ""just don't play on Valve's servers, go to FACEIT"". Firstly, I just want to casully play the game for an hour to relax, not to be all 'competitive' and ruin other's desire to win. Secondly, why can't the game be playable ""out of the box"" with no need to have any kind of 'add-ons'?

Well, I guess enough for a 'review'. This game will forever stay in my heart as it has brought an incalculable amount of fun into my life back in the days. And it also might bring it to someone today. But unfortunately not to me.",Not Recommended,1622,"3,472.8 hrs on record",Posted: 4 February
7.65612E+16,https://steamcommunity.com/profiles/76561198053757698/,"This game literally became UNPLAYABLE due to the USELESS VAC, so called ""anticheat"". At least 3 cheaters in each match on OFFICIAL VALVE servers... AND you can't even surrender because VALVE implemented this ""FEATURE"" when 5 teammates are present, you simply can't call a vote for surrender.... F*CK THIS PIECE OF GARBAGE.. AND I'm not talking as a silver player, I was a LEGIT global elite in CSGO back in the days... VALVE.. YOU ARE WASTING THE PLAYERS TIME........ FIX YOUR DAMN GAME!!!!!!!!!!!!",Not Recommended,416,"2,247.4 hrs on record","Posted: 10 May, 2024"
lepinpon,https://steamcommunity.com/id/lepinpon/,"Uninstalling.
I've been playing CS since 1.3. I played them all, 1.5 1.6, go, and now cs2.
Incredible game, but the competitive scene is full of hackers, not only blatant ones, but also sudden.
I have incredible reputation, old account, lots of reviews, and valve keeps matching me with 50 hours old accounts. Ridiculous. Matchmaking is BROKEN.
I'm not enjoying any match since my brain goes, ""he must be hacking"" every 1 minute.
BYE",Not Recommended,365,"2,112.5 hrs on record","Posted: 4 June, 2024"
Snicklefricks,https://steamcommunity.com/id/Snicklefricks/,"The amount of cheaters on this game is so bad it makes me not want to play it, feels like Valve doesn't care and the only thing they are focus on is making money from skins, counter strike matchmaking use to be the best ever, now it's unplayable",Not Recommended,198,"6,698.3 hrs on record","Posted: 19 November, 2024"
